PELAAJA,JOUKKUE,viimeinen,O,L,M,M/O,L/O,raw,raw_luokka,yhd_luokka_eb,L/O_luokka,eb_raw,alhpa_new,beta_new,eb_raw_luokka,Games Left,Mean_Goals,CI_Lower,CI_Upper,Final_Goals,Final_CI_Lower,Final_CI_Upper
Pasanen Rasmus,Indians,2025,15,32,5,0.3333333333333333,2.1333333333333333,0.15625,"High,%","High,% -- Average High,spg","Average High,spg",0.13771923991058696,7.498874516323286,54.45044948833487,"High,%",15,3.836,1,6,8.836,6,11
Paulaharju Simo,KrP,2025,12,10,0,0,0.8333333333333334,0,"Low,%","Low,% -- Low,spg","Low,spg",0.07700585217537802,2.498874516323286,32.45044948833487,"Low,%",17,1.007,0,2,1.007,0,2
Pekari Elias,Oilers,2025,18,24,3,0.16666666666666666,1.3333333333333333,0.125,"Average High,%","Average High,% -- Average Low,spg","Average Low,spg",0.11838151356757531,5.498874516323286,46.45044948833487,"Average High,%",15,2.166,0,4,5.166,3,7
Pelto-Arvo Jukka-Pekka,SPV,2025,18,43,9,0.5,2.388888888888889,0.20930232558139536,"Very High,%","Very High,% -- Average High,spg","Average High,spg",0.175688243644113,11.498874516323287,65.45044948833487,"Very High,%",15,5.308,3,8,14.308,12,17
Penicka Matej,ErVi,2025,16,60,3,0.1875,3.75,0.05,"Low,%","Low,% -- High,spg","High,spg",0.0666930811226356,5.498874516323286,82.45044948833487,"Low,%",16,3.812,2,6,6.811999999999999,5,9
Pernu Valtteri,Happee,2025,13,8,2,0.15384615384615385,0.6153846153846154,0.25,"Very High,%","High,% -- Low,spg","Low,spg",0.1477441086065656,4.498874516323286,30.45044948833487,"High,%",15,1.251,0,3,3.251,2,5
Pirhonen Elias,ErVi,2025,12,12,0,0,1,0,"Low,%","Low,% -- Low,spg","Low,spg",0.07253532402151734,2.498874516323286,34.45044948833487,"Low,%",16,1.088,0,3,1.088,0,3
Piskacek Bohumil,ErVi,2025,17,37,0,0,2.176470588235294,0,"Low,%","Low,% -- Average High,spg","Average High,spg",0.0420328952569754,2.498874516323286,59.45044948833487,"Low,%",16,1.413,0,3,1.413,0,3
Porttikivi Pietari,LASB,2025,13,16,0,0,1.2307692307692308,0,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.06498947475455123,2.498874516323286,38.45044948833487,"Low,%",16,1.201,0,3,1.201,0,3
Puntanen Eetu,Jymy,2025,19,52,4,0.21052631578947367,2.736842105263158,0.07692307692307693,"Average Low,%","Low,% -- Average High,spg","Average High,spg",0.08729127306802292,6.498874516323286,74.45044948833487,"Low,%",14,3.071,1,5,7.071,5,9
Pylväläinen Arttu,Happee,2025,17,22,1,0.058823529411764705,1.2941176470588236,0.045454545454545456,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.07871404128863749,3.498874516323286,44.45044948833487,"Low,%",15,1.386,0,3,2.386,1,4
Pöyhtäri Akseli,FBC,2025,14,43,6,0.42857142857142855,3.0714285714285716,0.13953488372093023,"High,%","High,% -- High,spg","High,spg",0.1298520420068013,8.498874516323287,65.45044948833487,"High,%",16,5.799,3,9,11.799,9,15
Raappana Atte,LASB,2025,13,34,4,0.3076923076923077,2.6153846153846154,0.11764705882352941,"Average High,%","Average High,% -- Average High,spg","Average High,spg",0.1151252926279398,6.498874516323286,56.45044948833487,"Average High,%",16,4.309,2,7,8.309000000000001,6,11
Rannanjärvi Jaakko,TPS,2025,10,3,0,0,0.3,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.09818586966287716,2.498874516323286,25.45044948833487,"Average Low,%",15,0.428,0,1,0.428,0,1
Ranta Justus,Jymy,2025,14,5,0,0,0.35714285714285715,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.09103218937763437,2.498874516323286,27.45044948833487,"Average Low,%",14,0.433,0,1,0.433,0,1
Rantala Joona,KrP,2025,15,88,16,1.0666666666666667,5.866666666666666,0.18181818181818182,"High,%","Very High,% -- Very High,spg","Very High,spg",0.16748573321358035,18.498874516323287,110.45044948833487,"Very High,%",17,14.216,9,19,30.216,25,35
Rantala Peetu,LASB,2025,17,12,1,0.058823529411764705,0.7058823529411765,0.08333333333333333,"Average Low,%","Average Low,% -- Low,spg","Low,spg",0.1015625214848946,3.498874516323286,34.45044948833487,"Average Low,%",16,1.056,0,2,2.056,1,3
Rantaniemi Aapo,OLS,2025,12,34,2,0.16666666666666666,2.8333333333333335,0.058823529411764705,"Average Low,%","Low,% -- High,spg","High,spg",0.07969599103463207,4.498874516323286,56.45044948833487,"Low,%",14,2.922,1,5,4.922000000000001,3,7
Rauhala Jani,Indians,2025,16,47,3,0.1875,2.9375,0.06382978723404255,"Average Low,%","Low,% -- High,spg","High,spg",0.07917694639610498,5.498874516323286,69.45044948833487,"Low,%",15,3.205,1,6,6.205,4,9
Rautakoura Ville,Indians,2025,17,20,2,0.11764705882352941,1.1764705882352942,0.1,"Average High,%","Average High,% -- Average Low,spg","Average Low,spg",0.10597943179752549,4.498874516323286,42.45044948833487,"Average High,%",15,1.71,0,3,3.71,2,5
Rautio Petro,Jymy,2025,19,26,1,0.05263157894736842,1.368421052631579,0.038461538461538464,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.0722155223176142,3.498874516323286,48.45044948833487,"Low,%",14,1.278,0,3,2.278,1,4
Rehu Santtu,OLS,2025,17,22,0,0,1.2941176470588236,0,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.056217080931410285,2.498874516323286,44.45044948833487,"Low,%",14,0.943,0,2,0.943,0,2
Repo Juho,SPV,2025,17,43,6,0.35294117647058826,2.5294117647058822,0.13953488372093023,"High,%","High,% -- Average High,spg","Average High,spg",0.1298520420068013,8.498874516323287,65.45044948833487,"High,%",15,4.256,2,7,10.256,8,13
Rintala Toni,Indians,2025,18,7,0,0,0.3888888888888889,0,"Low,%","Low,% -- Low,spg","Low,spg",0.08485013165293366,2.498874516323286,29.45044948833487,"Low,%",15,0.445,0,1,0.445,0,1
Roimela Setti,Indians,2025,3,3,0,0,1,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.09818586966287716,2.498874516323286,25.45044948833487,"Average Low,%",15,1.285,0,3,1.285,0,3
Roth Anton,Indians,2025,18,27,5,0.2777777777777778,1.5,0.18518518518518517,"High,%","High,% -- Average Low,spg","Average Low,spg",0.15164421342807483,7.498874516323286,49.45044948833487,"High,%",15,2.991,1,5,7.991,6,10
Ruonakangas Riku,OLS,2025,4,5,0,0,1.25,0,"Low,%","Average Low,% -- Average Low,spg","Average Low,spg",0.09103218937763437,2.498874516323286,27.45044948833487,"Average Low,%",14,1.539,0,3,1.539,0,3
Ryytty Valtteri,LASB,2025,16,14,1,0.0625,0.875,0.07142857142857142,"Average Low,%","Average Low,% -- Low,spg","Low,spg",0.0959898866937984,3.498874516323286,36.45044948833487,"Average Low,%",16,1.253,0,3,2.253,1,4
Römpötti Oula,Happee,2025,2,1,0,0,0.5,0,"Low,%","Average High,% -- Low,spg","Low,spg",0.10655977053089409,2.498874516323286,23.45044948833487,"Average High,%",15,0.742,0,2,0.742,0,2
Saarela Miko,Jymy,2025,18,13,0,0,0.7222222222222222,0,"Low,%","Low,% -- Low,spg","Low,spg",0.07048921952726021,2.498874516323286,35.45044948833487,"Low,%",14,0.666,0,2,0.666,0,2
Saari Arttu,Jymy,2025,16,23,3,0.1875,1.4375,0.13043478260869565,"Average High,%","Average High,% -- Average Low,spg","Average Low,spg",0.12098614157236455,5.498874516323286,45.45044948833487,"Average High,%",14,2.176,0,4,5.176,3,7
Salin Eemeli,Classic,2025,17,101,17,1,5.9411764705882355,0.16831683168316833,"High,%","High,% -- Very High,spg","Very High,spg",0.15794899570751084,19.498874516323287,123.45044948833487,"High,%",14,11.357,7,16,28.357,24,33
Salmi Markus,Oilers,2025,18,108,19,1.0555555555555556,6,0.17592592592592593,"High,%","Very High,% -- Very High,spg","Very High,spg",0.16480490945526222,21.498874516323287,130.45044948833487,"Very High,%",15,12.646,8,17,31.646,27,36
Salminen Olli,ErVi,2025,15,42,4,0.26666666666666666,2.8,0.09523809523809523,"Average High,%","Average Low,% -- Average High,spg","Average High,spg",0.10083520856591609,6.498874516323286,64.45044948833487,"Average Low,%",16,4.211,2,7,8.211,6,11
Salminen Sami,LASB,2025,11,14,1,0.09090909090909091,1.2727272727272727,0.07142857142857142,"Average Low,%","Average Low,% -- Average Low,spg","Average Low,spg",0.0959898866937984,3.498874516323286,36.45044948833487,"Average Low,%",16,1.704,0,3,2.7039999999999997,1,4
Salminen Toni,Classic,2025,17,27,4,0.23529411764705882,1.588235294117647,0.14814814814814814,"High,%","High,% -- Average Low,spg","Average Low,spg",0.1314219503273947,6.498874516323286,49.45044948833487,"High,%",14,2.532,1,5,6.532,5,9
Salo Tuukka,Classic,2025,18,13,2,0.1111111111111111,0.7222222222222222,0.15384615384615385,"High,%","High,% -- Low,spg","Low,spg",0.12690599361239865,4.498874516323286,35.45044948833487,"High,%",14,1.153,0,3,3.153,2,5
Salokangas Julius,LASB,2025,10,28,2,0.2,2.8,0.07142857142857142,"Average Low,%","Low,% -- Average High,spg","Average High,spg",0.08917412157771784,4.498874516323286,50.45044948833487,"Low,%",16,3.73,1,6,5.73,3,8
Salokangas Tiitus,Classic,2025,15,73,19,1.2666666666666666,4.866666666666666,0.2602739726027397,"Very High,%","Very High,% -- High,spg","High,spg",0.2252359693596906,21.498874516323287,95.45044948833487,"Very High,%",14,12.515,8,17,31.515,27,36
Santanen Mikko,SPV,2025,7,4,0,0,0.5714285714285714,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.09447380156716563,2.498874516323286,26.45044948833487,"Average Low,%",15,0.715,0,2,0.715,0,2
Savela Iiro,OLS,2025,17,111,10,0.5882352941176471,6.529411764705882,0.09009009009009009,"Average Low,%","Average Low,% -- Very High,spg","Very High,spg",0.09365929125188772,12.498874516323287,133.45044948833487,"Average Low,%",14,7.88,4,12,17.88,14,22
Seppälä Juho,Oilers,2025,11,12,0,0,1.0909090909090908,0,"Low,%","Low,% -- Low,spg","Low,spg",0.07253532402151734,2.498874516323286,34.45044948833487,"Low,%",15,1.069,0,2,1.069,0,2
Siekkinen Paavo,Happee,2025,7,7,1,0.14285714285714285,1,0.14285714285714285,"High,%","Average High,% -- Low,spg","Low,spg",0.11880547078607977,3.498874516323286,29.45044948833487,"Average High,%",15,1.609,0,3,2.609,1,4
Sikkinen Eetu,Classic,2025,18,37,3,0.16666666666666666,2.0555555555555554,0.08108108108108109,"Average Low,%","Average Low,% -- Average High,spg","Average High,spg",0.09249508731472675,5.498874516323286,59.45044948833487,"Average Low,%",14,2.391,0,5,5.391,3,8
Sillanpää Oliver,ErVi,2025,17,64,13,0.7647058823529411,3.764705882352941,0.203125,"Very High,%","Very High,% -- High,spg","High,spg",0.1792804387722081,15.498874516323287,86.45044948833487,"Very High,%",16,9.055,5,13,22.055,18,26
Silvonen Jesper,Oilers,2025,17,53,4,0.23529411764705882,3.1176470588235294,0.07547169811320754,"Average Low,%","Low,% -- High,spg","High,spg",0.08613433797141334,6.498874516323286,75.45044948833487,"Low,%",15,3.782,1.9000000000000057,6,7.782,5.900000000000006,10
Simonen Topias,KrP,2025,16,29,4,0.25,1.8125,0.13793103448275862,"High,%","High,% -- Average High,spg","Average High,spg",0.12631326997049358,6.498874516323286,51.45044948833487,"High,%",17,3.51,1,6,7.51,5,10
Sorvali Eetu,Oilers,2025,17,51,9,0.5294117647058824,3,0.17647058823529413,"High,%","High,% -- High,spg","High,spg",0.15655281344669641,11.498874516323287,73.45044948833487,"High,%",15,5.957,3,9,14.957,12,18
Stenfors Lauri,TPS,2025,12,10,0,0,0.8333333333333334,0,"Low,%","Low,% -- Low,spg","Low,spg",0.07700585217537802,2.498874516323286,32.45044948833487,"Low,%",15,0.89,0,2,0.89,0,2
Stransky Simon,ErVi,2025,12,70,8,0.6666666666666666,5.833333333333333,0.11428571428571428,"Average High,%","Average High,% -- Very High,spg","Very High,spg",0.11356217924768451,10.498874516323287,92.45044948833487,"Average High,%",16,9.566,6,14,17.566000000000003,14,22
Suhanto Eppu,Oilers,2025,18,48,3,0.16666666666666666,2.6666666666666665,0.0625,"Average Low,%","Low,% -- Average High,spg","Average High,spg",0.07805307923881714,5.498874516323286,70.45044948833487,"Low,%",15,2.902,1,5,5.902,4,8
Sulander Jere,LASB,2025,17,62,6,0.35294117647058826,3.6470588235294117,0.0967741935483871,"Average High,%","Average Low,% -- High,spg","High,spg",0.10063741007674845,8.498874516323287,84.45044948833487,"Average Low,%",16,5.359,3,8,11.359,9,14
Suomela Antti,Oilers,2025,16,61,5,0.3125,3.8125,0.08196721311475409,"Average Low,%","Low,% -- High,spg","High,spg",0.08986020521520999,7.498874516323286,83.45044948833487,"Low,%",15,4.75,2,8,9.75,7,13
Suominen Marius,FBC,2025,13,11,2,0.15384615384615385,0.8461538461538461,0.18181818181818182,"High,%","High,% -- Low,spg","Low,spg",0.13449369396044059,4.498874516323286,33.45044948833487,"High,%",16,1.656,0,3,3.6559999999999997,2,5
Suutari Samuel,LASB,2025,17,37,5,0.29411764705882354,2.176470588235294,0.13513513513513514,"High,%","High,% -- Average High,spg","Average High,spg",0.126136548686561,7.498874516323286,59.45044948833487,"High,%",16,3.707,1,6,8.707,6,11
Talvitie Ilari,Oilers,2025,8,11,0,0,1.375,0,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.07470376495821723,2.498874516323286,33.45044948833487,"Low,%",15,1.414,0,3,1.414,0,3
Tammiranta Aaro,SPV,2025,16,33,3,0.1875,2.0625,0.09090909090909091,"Average Low,%","Average Low,% -- Average High,spg","Average High,spg",0.09916735692972312,5.498874516323286,55.45044948833487,"Average Low,%",15,2.78,1,5,5.779999999999999,4,8
Tenho Oskari,Jymy,2025,19,100,4,0.21052631578947367,5.2631578947368425,0.04,"Low,%","Low,% -- High,spg","High,spg",0.05307350478074313,6.498874516323286,122.45044948833487,"Low,%",14,3.744,1,6,7.744,5,10
Tenhonen Benjamin,ErVi,2025,17,25,2,0.11764705882352941,1.4705882352941178,0.08,"Average Low,%","Average Low,% -- Average Low,spg","Average Low,spg",0.09481205267463864,4.498874516323286,47.45044948833487,"Average Low,%",16,1.958,0,4,3.958,2,6
Tenhonen Daniel,ErVi,2025,17,63,4,0.23529411764705882,3.7058823529411766,0.06349206349206349,"Average Low,%","Low,% -- High,spg","High,spg",0.0760543046319548,6.498874516323286,85.45044948833487,"Low,%",16,4.201,2,7,8.201,6,11
Tiittala Leo,ErVi,2025,10,16,0,0,1.6,0,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.06498947475455123,2.498874516323286,38.45044948833487,"Low,%",16,1.529,0,3,1.529,0,3
Trekse Peteris,Classic,2025,19,49,6,0.3157894736842105,2.5789473684210527,0.12244897959183673,"Average High,%","Average High,% -- Average High,spg","Average High,spg",0.11894781036627108,8.498874516323287,71.45044948833487,"Average High,%",14,3.835,1,6,9.835,7,12
Tuominen Sami,FBC,2025,2,1,1,0.5,0.5,1,"Very High,%","High,% -- Low,spg","Low,spg",0.14920287639107974,3.498874516323286,23.45044948833487,"High,%",16,1.034,0,2,2.034,1,3
Tuononen verneri,FBC,2025,17,72,9,0.5294117647058824,4.235294117647059,0.125,"Average High,%","Average High,% -- High,spg","High,spg",0.12174504810316926,11.498874516323287,94.45044948833487,"Average High,%",16,7.285,4,11,16.285,13,20
Turigin Teemu,Jymy,2025,19,40,3,0.15789473684210525,2.1052631578947367,0.075,"Average Low,%","Low,% -- Average High,spg","Average High,spg",0.08805180044941745,5.498874516323286,62.45044948833487,"Low,%",14,2.461,1,5,5.461,4,8
Turula Veli-Pekka,ErVi,2025,13,3,0,0,0.23076923076923078,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.09818586966287716,2.498874516323286,25.45044948833487,"Average Low,%",16,0.347,0,1,0.347,0,1
Tykkyläinen Konsta,Classic,2025,18,64,15,0.8333333333333334,3.5555555555555554,0.234375,"Very High,%","Very High,% -- High,spg","High,spg",0.2024150784627729,17.498874516323287,86.45044948833487,"Very High,%",14,8.325,5,12,23.325,20,27
Ukkonen Eemil,KrP,2025,15,15,3,0.2,1,0.2,"High,%","High,% -- Low,spg","Low,spg",0.14683066802805891,5.498874516323286,37.45044948833487,"High,%",17,2.187,0,4,5.186999999999999,3,7
Ukskoski Otto,ErVi,2025,15,28,4,0.26666666666666666,1.8666666666666667,0.14285714285714285,"High,%","High,% -- Average High,spg","Average High,spg",0.1288169794765843,6.498874516323286,50.45044948833487,"High,%",16,3.396,1,6,7.396,5,10
Uusi-Laitila Santeri,SPV,2025,17,36,3,0.17647058823529413,2.1176470588235294,0.08333333333333333,"Average Low,%","Average Low,% -- Average High,spg","Average High,spg",0.09407754028342781,5.498874516323286,58.45044948833487,"Average Low,%",15,2.723,1,5,5.723,4,8
Vaarala Kalle,Happee,2025,18,28,1,0.05555555555555555,1.5555555555555556,0.03571428571428571,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.0693526926282846,3.498874516323286,50.45044948833487,"Low,%",15,1.454,0,3,2.4539999999999997,1,4
Vaarala Karri,Jymy,2025,15,139,18,1.2,9.266666666666667,0.12949640287769784,"Average High,%","High,% -- Very High,spg","Very High,spg",0.12696697086497968,20.498874516323287,161.45044948833487,"High,%",14,14.546,10,20,32.546,28,38
Vaarimo Miko,ErVi,2025,10,18,3,0.3,1.8,0.16666666666666666,"High,%","High,% -- Average High,spg","Average High,spg",0.13594099907119836,5.498874516323286,40.45044948833487,"High,%",16,3.425,1,6,6.425,4,9
Vainionpää Markus,Classic,2025,1,6,0,0,6,0,"Low,%","Low,% -- Very High,spg","Very High,spg",0.08783251446863305,2.498874516323286,28.45044948833487,"Low,%",14,6.746,3,10,6.746,3,10
Vesterinen Waltteri,TPS,2025,18,124,8,0.4444444444444444,6.888888888888889,0.06451612903225806,"Average Low,%","Low,% -- Very High,spg","Very High,spg",0.0716889197199736,10.498874516323287,146.45044948833487,"Low,%",15,6.927,4,10,14.927,12,18
Viitakoski Valtteri,KrP,2025,16,67,13,0.8125,4.1875,0.19402985074626866,"High,%","Very High,% -- High,spg","High,spg",0.1732677097206144,15.498874516323287,89.45044948833487,"Very High,%",17,10.295,6,15,23.295,19,28
Viitikka Oskari,TPS,2025,16,6,0,0,0.375,0,"Low,%","Low,% -- Low,spg","Low,spg",0.08783251446863305,2.498874516323286,28.45044948833487,"Low,%",15,0.463,0,1,0.463,0,1
Virolainen Luukas,OLS,2025,4,1,0,0,0.25,0,"Low,%","Average High,% -- Low,spg","Low,spg",0.10655977053089409,2.498874516323286,23.45044948833487,"Average High,%",14,0.34,0,1,0.34,0,1
Virrankari Olli-Matti,Happee,2025,17,10,1,0.058823529411764705,0.5882352941176471,0.1,"Average High,%","Average High,% -- Low,spg","Low,spg",0.10782206630392115,3.498874516323286,32.45044948833487,"Average High,%",15,0.872,0,2,1.8719999999999999,1,3
Virtanen Viljami,Classic,2025,10,4,0,0,0.4,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.09447380156716563,2.498874516323286,26.45044948833487,"Average Low,%",14,0.506,0,1,0.506,0,1
Vähäkangas Johannes,FBC,2025,17,30,4,0.23529411764705882,1.7647058823529411,0.13333333333333333,"Average High,%","High,% -- Average High,spg","Average High,spg",0.12390502998012733,6.498874516323286,52.45044948833487,"High,%",16,3.025,1,5,7.025,5,9
Välitalo Anssi,OLS,2025,14,11,1,0.07142857142857142,0.7857142857142857,0.09090909090909091,"Average Low,%","Average High,% -- Low,spg","Low,spg",0.10459872945932891,3.498874516323286,33.45044948833487,"Average High,%",14,1.074,0,3,2.074,1,4
Vänttilä Kimi,OLS,2025,18,60,14,0.7777777777777778,3.3333333333333335,0.23333333333333334,"Very High,%","Very High,% -- High,spg","High,spg",0.20010654421790092,16.498874516323287,82.45044948833487,"Very High,%",14,7.76,4,11,21.759999999999998,18,25
Wiander Tommi,ErVi,2025,17,23,1,0.058823529411764705,1.3529411764705883,0.043478260869565216,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.0769821763197588,3.498874516323286,45.45044948833487,"Low,%",16,1.553,0,3,2.553,1,4
Wikström Roope,Jymy,2025,19,12,0,0,0.631578947368421,0,"Low,%","Low,% -- Low,spg","Low,spg",0.07253532402151734,2.498874516323286,34.45044948833487,"Low,%",14,0.586,0,2,0.586,0,2
Wingren Elliot,FBC,2025,16,17,3,0.1875,1.0625,0.17647058823529413,"High,%","High,% -- Low,spg","Low,spg",0.13938686599627342,5.498874516323286,39.45044948833487,"High,%",16,2.062,0,4,5.061999999999999,3,7
Ylitalo Eemil,OLS,2025,19,56,4,0.21052631578947367,2.9473684210526314,0.07142857142857142,"Average Low,%","Low,% -- High,spg","High,spg",0.0828405007072602,6.498874516323286,78.45044948833487,"Low,%",14,3.264,1,6,7.263999999999999,5,10
Äijälä Eemil,Jymy,2025,19,197,19,1,10.368421052631579,0.09644670050761421,"Average High,%","Average Low,% -- Very High,spg","Very High,spg",0.09796687391823311,21.498874516323287,219.45044948833487,"Average Low,%",14,12.911,8,18,31.911,27,37
Äijälä Niklas,Jymy,2025,19,60,7,0.3684210526315789,3.1578947368421053,0.11666666666666667,"Average High,%","Average High,% -- High,spg","High,spg",0.11520706770273208,9.498874516323287,82.45044948833487,"Average High,%",14,4.662,2,8,11.661999999999999,9,15
